iter	Passed	Remaining
496	25316	127501
497	25368	127453
498	25414	127375
499	25458	127294
500	25512	127257
501	25558	127182
502	25603	127100
503	25649	127024
504	25695	126952
505	25741	126875
506	25787	126800
507	25832	126721
508	25877	126641
509	25921	126555
510	25973	126512
511	26030	126491
512	26089	126482
513	26136	126409
514	26183	126340
515	26227	126259
516	26277	126202
517	26321	126118
518	26371	126063
519	26415	125979
520	26461	125908
521	26506	125831
522	26551	125752
523	26614	125760
524	26666	125715
525	26714	125649
526	26761	125580
527	26809	125518
528	26854	125438
529	26904	125386
530	26962	125370
531	27028	125385
532	27083	125358
533	27130	125289
534	27193	125291
535	27233	125192
536	27273	125093
537	27317	125009
538	27362	124933
539	27409	124865
540	27455	124791
541	27501	124720
542	27549	124656
543	27599	124602
544	27646	124536
545	27691	124460
546	27734	124376
547	27776	124282
548	27839	124289
549	27903	124296
550	27977	124351
551	28034	124327
552	28089	124296
553	28149	124285
554	28196	124218
555	28246	124161
556	28290	124083
557	28333	123997
558	28386	123953
559	28434	123894
560	28481	123824
561	28535	123789
562	28578	123703
563	28625	123636
564	28667	123549
565	28715	123486
566	28761	123417
567	28809	123351
568	28862	123311
569	28919	123289
570	28970	123237
571	29023	123197
572	29084	123191
573	29131	123124
574	29178	123055
575	29241	123056
576	29303	123055
577	29349	122985
578	29394	122907
579	29442	122844
580	29489	122780
581	29538	122720
582	29583	122649
583	29632	122587
584	29681	122530
585	29735	122494
586	29793	122471
587	29842	122415
588	29895	122372
589	29942	122308
590	29996	122269
591	30050	122231
592	30093	122150
593	30140	122085
594	30187	122019
595	30231	121939
596	30274	121858
597	30318	121780
598	30367	121722
599	30415	121661
600	30458	121579
601	30500	121494
602	30540	121404
603	30585	121328
604	30628	121250
605	30682	121209
606	30746	121214
607	30808	121208
608	30862	121168
609	30909	121105
610	30970	121095
611	31017	121028
612	31063	120959
613	31106	120880
614	31181	120922
615	31227	120856
616	31280	120813
617	31327	120746
618	31378	120699
619	31425	120633
620	31470	120559
621	31524	120522
622	31567	120442
623	31624	120418
624	31682	120393
625	31736	120356
626	31792	120326
627	31851	120307
628	31894	120227
629	31937	120144
630	31981	120071
631	32027	120003
632	32069	119920
633	32120	119870
634	32165	119798
635	32212	119734
636	32257	119662
637	32301	119585
638	32346	119515
639	32391	119443
640	32435	119368
641	32483	119308
642	32525	119225
643	32575	119174
644	32635	119158
645	32701	119164
646	32754	119122
647	32799	119049
648	32854	119015
649	32901	118950
650	32947	118883
651	32993	118817
652	33036	118740
653	33081	118670
654	33126	118598
655	33171	118526
656	33218	118464
657	33266	118402
658	33312	118336
659	33356	118264
660	33405	118207
661	33467	118199
662	33541	118229
663	33590	118173
664	33638	118113
665	33692	118075
666	33738	118007
667	33783	117937
668	33827	117866
669	33874	117802
670	33917	117726
671	33962	117656
672	34005	117578
673	34049	117507
674	34094	117435
675	34138	117363
676	34181	117287
677	34224	117212
678	34272	117151
679	34317	117084
680	34362	117015
681	34416	116974
682	34473	116946
683	34544	116965
684	34606	116955
685	34652	116889
686	34704	116844
687	34748	116770
688	34793	116701
689	34836	116626
690	34882	116560
691	34925	116484
692	34967	116408
693	35012	116338
694	35055	116263
695	35098	116189
696	35144	116123
697	35189	116054
698	35229	115968
699	35275	115903
700	35317	115826
701	35361	115757
702	35407	115692
703	35473	115692
704	35538	115688
705	35603	115687
706	35658	115648
707	35704	115586
708	35752	115528
709	35793	115448
710	35841	115388
711	35882	115307
712	35931	115252
713	35977	115189
714	36026	115133
715	36074	115076
716	36121	115013
717	36168	114951
718	36212	114884
719	36258	114818
720	36305	114757
721	36350	114691
722	36413	114680
723	36471	114654
724	36529	114625
725	36579	114575
726	36629	114523
727	36675	114460
728	36721	114396
729	36766	114328
730	36811	114261
731	36854	114188
732	36899	114121
733	36944	114055
734	36993	114001
735	37038	113932
736	37082	113863
737	37128	113799
738	37175	113739
739	37239	113730
740	37296	113700
741	37347	113651
742	37400	113612
743	37456	113576
744	37508	113533
745	37552	113463
746	37595	113390
747	37642	113329
748	37693	113281
749	37740	113221
750	37787	113161
751	37841	113122
752	37888	113062
753	37934	112998
754	37979	112932
755	38023	112864
756	38064	112785
757	38113	112731
758	38172	112707
759	38223	112657
760	38284	112640
761	38330	112576
762	38388	112549
763	38434	112485
764	38481	112426
765	38528	112366
766	38581	112323
767	38626	112259
768	38671	112191
769	38726	112156
770	38772	112093
771	38820	112034
772	38865	111970
773	38909	111902
774	38954	111838
775	39001	111777
776	39058	111745
777	39112	111706
778	39165	111665
779	39217	111620
780	39265	111563
781	39329	111552
782	39375	111489
783	39420	111422
784	39466	111361
785	39513	111301
786	39560	111241
787	39607	111181
788	39649	111109
789	39697	111051
790	39744	110992
791	39790	110930
792	39837	110871
793	39882	110806
794	39930	110749
795	39984	110710
796	40050	110702
797	40111	110684
798	40163	110638
799	40221	110608
800	40267	110546
801	40312	110483
802	40360	110425
803	40404	110357
804	40452	110303
805	40499	110244
806	40545	110180
807	40590	110116
808	40635	110053
809	40681	109990
810	40731	109941
811	40780	109885
812	40822	109813
813	40871	109761
814	40935	109747
815	40991	109712
816	41042	109664
817	41098	109629
818	41149	109579
819	41196	109523
820	41246	109472
821	41293	109412
822	41338	109349
823	41392	109307
824	41435	109238
825	41481	109176
826	41525	109109
827	41572	109051
828	41624	109005
829	41669	108942
830	41713	108875
831	41756	108807
832	41811	108770
833	41912	108852
834	41960	108796
835	42026	108787
836	42071	108721
837	42117	108661
838	42163	108599
839	42215	108553
840	42260	108489
841	42304	108424
842	42349	108361
843	42394	108296
844	42438	108230
845	42497	108201
846	42542	108138
847	42584	108067
848	42629	108004
849	42703	108014
850	42778	108027
851	42839	108003
852	42885	107942
853	42926	107870
854	42972	107807
855	43015	107739
856	43062	107681
857	43109	107621
858	43154	107560
859	43199	107495
860	43244	107432
861	43293	107380
862	43337	107313
863	43382	107252
864	43425	107183
865	43468	107115
866	43513	107053
867	43559	106992
868	43602	106922
869	43648	106863
870	43693	106801
871	43736	106732
872	43778	106663
873	43823	106599
874	43865	106530
875	43909	106464
876	43955	106405
877	44012	106372
878	44058	106311
879	44100	106242
880	44144	106177
881	44184	106103
882	44232	106046
883	44275	105981
884	44320	105917
885	44367	105859
886	44411	105797
887	44452	105724
888	44499	105668
889	44544	105605
890	44593	105552
891	44637	105488
892	44681	105423
893	44726	105362
894	44771	105300
895	44818	105243
896	44866	105188
897	44910	105124
898	44955	105063
899	44999	104998
900	45046	104940
901	45094	104887
902	45139	104825
903	45184	104764
904	45229	104703
905	45275	104643
906	45320	104580
907	45365	104520
908	45412	104464
909	45462	104413
910	45512	104363
911	45557	104303
912	45602	104242
913	45650	104186
914	45701	104138
915	45744	104073
916	45786	104006
917	45833	103949
918	45882	103897
919	45926	103833
920	45972	103775
921	46021	103723
922	46065	103659
923	46107	103591
924	46148	103522
925	46195	103466
926	46237	103399
927	46285	103344
928	46327	103277
929	46365	103201
930	46412	103144
931	46454	103076
932	46502	103022
933	46550	102968
934	46592	102903
935	46634	102835
936	46689	102795
937	46733	102733
938	46811	102745
939	46877	102732
940	46930	102689
941	46979	102636
942	47027	102581
943	47070	102518
944	47120	102468
945	47168	102414
946	47219	102366
947	47266	102310
948	47313	102255
949	47364	102206
950	47414	102157
951	47461	102101
952	47510	102049
953	47558	101996
954	47608	101948
955	47656	101892
956	47704	101839
957	47747	101775
958	47790	101710
959	47835	101650
960	47882	101594
961	47924	101528
962	47968	101466
963	48017	101415
964	48062	101354
965	48107	101293
966	48149	101227
967	48195	101171
968	48239	101108
969	48282	101045
970	48329	100988
971	48375	100932
972	48422	100876
973	48465	100813
974	48514	100761
975	48562	100707
976	48607	100647
977	48650	100583
978	48693	100519
979	48736	100456
980	48777	100389
981	48823	100331
982	48870	100277
983	48916	100218
984	48960	100158
985	49003	100093
986	49045	100029
987	49090	99969
988	49137	99915
989	49182	99854
990	49226	99793
991	49271	99735
992	49317	99677
993	49364	99622
994	49406	99557
995	49453	99501
996	49497	99441
997	49541	99381
998	49584	99317
999	49626	99253
1000	49671	99193
1001	49725	99152
1002	49770	99094
1003	49817	99040
1004	49861	98978
1005	49920	98948
1006	49994	98946
1007	50055	98919
1008	50110	98880
1009	50154	98818
1010	50200	98761
1011	50245	98702
1012	50289	98641
1013	50333	98581
1014	50378	98524
1015	50423	98465
1016	50468	98406
1017	50513	98347
1018	50555	98283
1019	50601	98226
1020	50648	98172
1021	50693	98112
1022	50738	98054
1023	50782	97994
1024	50827	97936
1025	50869	97872
1026	50915	97814
1027	50959	97754
1028	51001	97691
1029	51049	97637
1030	51093	97578
1031	51135	97514
1032	51182	97459
1033	51223	97393
1034	51268	97335
1035	51313	97278
1036	51360	97223
1037	51403	97161
1038	51448	97102
1039	51492	97043
1040	51539	96988
1041	51588	96938
1042	51632	96878
1043	51674	96816
1044	51721	96760
1045	51766	96703
1046	51812	96647
1047	51856	96587
1048	51902	96531
1049	51947	96474
1050	51992	96415
1051	52037	96358
1052	52081	96298
1053	52126	96241
1054	52173	96187
1055	52218	96130
1056	52264	96073
1057	52307	96012
1058	52351	95953
1059	52395	95892
1060	52438	95832
1061	52480	95769
1062	52527	95715
1063	52571	95656
1064	52618	95603
1065	52666	95551
1066	52716	95502
1067	52762	95447
1068	52807	95389
1069	52853	95334
1070	52899	95278
1071	52944	95220
1072	52993	95171
1073	53042	95120
1074	53097	95081
1075	53160	95056
1076	53207	95002
1077	53254	94949
1078	53304	94901
1079	53347	94840
1080	53394	94786
1081	53440	94730
1082	53485	94673
1083	53531	94617
1084	53574	94557
1085	53620	94502
1086	53667	94448
1087	53718	94402
1088	53776	94367
1089	53826	94319
1090	53871	94262
1091	53915	94203
1092	53961	94148
1093	54002	94084
1094	54057	94044
1095	54147	94065
1096	54195	94014
1097	54249	93973
1098	54294	93915
1099	54338	93858
1100	54387	93807
1101	54434	93753
1102	54480	93697
1103	54527	93645
1104	54573	93590
1105	54621	93537
1106	54668	93484
1107	54713	93427
1108	54758	93370
1109	54809	93323
1110	54852	93264
1111	54897	93207
1112	54942	93150
1113	54988	93094
1114	55034	93040
1115	55079	92982
1116	55125	92928
1117	55169	92870
1118	55213	92811
1119	55257	92753
1120	55305	92701
1121	55350	92645
1122	55398	92594
1123	55447	92544
1124	55494	92491
1125	55539	92434
1126	55583	92376
1127	55631	92324
1128	55677	92269
1129	55720	92209
1130	55761	92147
1131	55807	92092
1132	55851	92034
1133	55894	91975
1134	55940	91920
1135	55985	91862
1136	56029	91806
1137	56078	91756
1138	56122	91698
1139	56163	91634
1140	56205	91574
1141	56248	91515
1142	56291	91455
1143	56333	91394
1144	56378	91338
1145	56424	91283
1146	56465	91220
1147	56513	91169
1148	56556	91110
1149	56599	91051
1150	56642	90992
1151	56684	90931
1152	56731	90878
1153	56776	90821
1154	56818	90761
1155	56862	90704
1156	56907	90649
1157	56949	90587
1158	56994	90532
1159	57040	90478
1160	57085	90421
1161	57131	90367
1162	57175	90310
1163	57222	90257
1164	57264	90198
1165	57313	90148
1166	57360	90096
1167	57403	90036
1168	57453	89989
1169	57502	89940
1170	57547	89884
1171	57592	89828
1172	57647	89788
1173	57693	89733
1174	57741	89683
1175	57787	89629
1176	57836	89580
1177	57880	89523
1178	57925	89467
1179	57967	89408
1180	58009	89347
1181	58054	89292
1182	58096	89231
1183	58140	89175
1184	58187	89121
1185	58232	89067
1186	58276	89009
1187	58320	88953
1188	58366	88900
1189	58414	88848
1190	58464	88801
1191	58512	88750
1192	58574	88720
1193	58616	88661
1194	58662	88606
1195	58706	88550
1196	58749	88491
1197	58793	88435
1198	58838	88380
1199	58888	88332
1200	58938	88285
1201	58987	88235
1202	59033	88182
1203	59081	88130
1204	59124	88073
1205	59169	88017
1206	59211	87959
1207	59256	87903
1208	59300	87846
1209	59348	87796
1210	59397	87746
1211	59443	87693
1212	59487	87637
1213	59530	87579
1214	59573	87521
1215	59620	87469
1216	59668	87419
1217	59717	87369
1218	59759	87309
1219	59806	87258
1220	59853	87207
1221	59900	87154
1222	59943	87097
1223	59989	87043
1224	60035	86989
1225	60081	86937
1226	60125	86881
1227	60170	86825
1228	60216	86772
1229	60260	86716
1230	60333	86701
1231	60395	86671
1232	60440	86617
1233	60491	86571
1234	60539	86520
1235	60583	86464
1236	60631	86413
1237	60675	86357
1238	60720	86302
1239	60770	86254
1240	60820	86207
1241	60867	86155
1242	60915	86104
1243	60962	86053
1244	61014	86008
1245	61059	85954
1246	61111	85908
1247	61157	85855
1248	61206	85806
1249	61254	85756
1250	61302	85706
1251	61349	85654
1252	61398	85605
1253	61451	85561
1254	61496	85506
1255	61547	85461
1256	61597	85412
1257	61645	85362
1258	61692	85311
1259	61741	85262
1260	61790	85212
1261	61841	85166
1262	61890	85118
1263	61936	85064
1264	61983	85012
1265	62031	84962
1266	62081	84914
1267	62127	84862
1268	62176	84813
1269	62244	84790
1270	62326	84785
1271	62380	84742
1272	62432	84698
1273	62485	84654
1274	62531	84602
1275	62578	84549
1276	62622	84493
1277	62668	84440
1278	62711	84383
1279	62764	84339
1280	62817	84295
1281	62860	84239
1282	62905	84184
1283	62949	84128
1284	62995	84075
1285	63039	84019
1286	63084	83965
1287	63162	83954
1288	63228	83928
1289	63277	83879
1290	63325	83828
1291	63372	83777
1292	63423	83730
1293	63471	83680
1294	63518	83628
1295	63565	83576
1296	63610	83522
1297	63658	83471
1298	63705	83420
1299	63753	83370
1300	63796	83313
1301	63846	83265
1302	63890	83209
1303	63933	83152
1304	63974	83093
1305	64022	83043
1306	64067	82988
1307	64116	82939
1308	64162	82887
1309	64207	82832
1310	64253	82779
1311	64301	82728
1312	64360	82693
1313	64408	82642
1314	64451	82586
1315	64496	82532
1316	64543	82480
1317	64596	82435
1318	64644	82386
1319	64692	82336
1320	64740	82285
1321	64788	82234
1322	64836	82184
1323	64884	82135
1324	64934	82086
1325	64983	82037
1326	65029	81985
1327	65081	81940
1328	65140	81903
1329	65194	81860
1330	65244	81812
1331	65294	81765
1332	65344	81717
1333	65394	81670
1334	65444	81622
1335	65488	81566
1336	65533	81512
1337	65579	81460
1338	65626	81407
1339	65670	81352
1340	65719	81304
1341	65764	81249
1342	65809	81195
1343	65854	81142
1344	65899	81088
1345	65948	81038
1346	65993	80985
1347	66039	80932
1348	66091	80886
1349	66138	80836
1350	66189	80789
1351	66237	80738
1352	66278	80680
1353	66328	80632
1354	66372	80577
1355	66419	80525
1356	66464	80472
1357	66507	80416
1358	66559	80371
1359	66604	80317
1360	66653	80267
1361	66699	80216
1362	66755	80175
1363	66804	80126
1364	66855	80080
1365	66934	80066
1366	66980	80013
1367	67028	79963
1368	67075	79912
1369	67121	79860
1370	67169	79809
1371	67216	79758
1372	67259	79702
1373	67307	79651
1374	67351	79597
1375	67398	79545
1376	67443	79492
1377	67488	79438
1378	67537	79390
1379	67580	79333
1380	67631	79286
1381	67679	79236
1382	67726	79185
1383	67774	79135
1384	67824	79087
1385	67883	79050
1386	67936	79005
1387	67986	78958
1388	68047	78923
1389	68103	78882
1390	68166	78849
1391	68225	78812
1392	68276	78765
1393	68324	78715
1394	68378	78671
1395	68425	78620
1396	68476	78573
1397	68531	78531
1398	68574	78476
1399	68626	78430
1400	68673	78378
1401	68718	78325
1402	68762	78270
1403	68811	78221
1404	68868	78181
1405	68918	78133
1406	68964	78080
1407	69014	78033
1408	69062	77983
1409	69108	77930
1410	69156	77881
1411	69202	77828
1412	69248	77776
1413	69296	77726
1414	69345	77676
1415	69396	77630
1416	69442	77578
1417	69494	77531
1418	69560	77501
1419	69612	77455
1420	69657	77402
1421	69699	77345
1422	69742	77290
1423	69785	77235
1424	69830	77180
1425	69877	77129
1426	69929	77083
1427	69977	77034
1428	70023	76982
1429	70068	76928
1430	70115	76876
1431	70160	76823
1432	70207	76772
1433	70252	76718
1434	70301	76670
1435	70349	76619
1436	70396	76569
1437	70442	76516
1438	70489	76465
1439	70531	76408
1440	70578	76358
1441	70632	76314
1442	70676	76259
1443	70728	76214
1444	70773	76161
1445	70823	76113
1446	70868	76059
1447	70918	76011
1448	70993	75990
1449	71048	75948
1450	71098	75900
1451	71144	75847
1452	71189	75795
1453	71237	75745
1454	71283	75692
1455	71331	75642
1456	71373	75586
1457	71419	75534
1458	71467	75484
1459	71512	75431
1460	71560	75381
1461	71612	75334
1462	71664	75289
1463	71709	75236
1464	71755	75183
1465	71802	75133
1466	71863	75096
1467	71906	75041
1468	71953	74989
1469	71998	74936
1470	72049	74890
1471	72095	74838
1472	72143	74788
1473	72189	74735
1474	72234	74683
1475	72282	74633
1476	72327	74580
1477	72373	74528
1478	72420	74476
1479	72469	74428
1480	72512	74373
1481	72555	74317
1482	72599	74263
1483	72643	74209
1484	72695	74163
1485	72738	74109
1486	72785	74058
1487	72851	74026
1488	72909	73986
1489	72953	73932
1490	73000	73881
1491	73044	73827
1492	73092	73778
1493	73136	73723
1494	73178	73668
1495	73221	73612
1496	73268	73562
1497	73318	73514
1498	73370	73467
1499	73418	73418
1500	73470	73372
1501	73516	73321
1502	73562	73269
1503	73607	73215
1504	73653	73163
1505	73700	73112
1506	73752	73067
1507	73798	73015
1508	73851	72970
1509	73896	72917
1510	73941	72865
1511	73988	72814
1512	74038	72765
1513	74084	72714
1514	74132	72664
1515	74179	72614
1516	74245	72581
1517	74289	72527
1518	74338	72479
1519	74391	72433
1520	74436	72380
1521	74481	72328
1522	74532	72281
1523	74583	72234
1524	74628	72181
1525	74673	72129
1526	74718	72076
1527	74763	72023
1528	74809	71971
1529	74850	71915
1530	74902	71869
1531	74958	71826
1532	75019	71789
1533	75062	71735
1534	75109	71684
1535	75154	71631
1536	75200	71579
1537	75245	71527
1538	75293	71477
1539	75342	71428
1540	75389	71377
1541	75443	71333
1542	75486	71279
1543	75531	71226
1544	75578	71176
1545	75624	71124
1546	75665	71067
1547	75726	71030
1548	75771	70977
1549	75816	70925
1550	75862	70873
1551	75904	70818
1552	75948	70764
1553	75990	70709
1554	76035	70656
1555	76082	70605
1556	76151	70575
1557	76206	70532
1558	76253	70481
1559	76301	70432
1560	76344	70378
1561	76388	70324
1562	76436	70274
1563	76481	70222
1564	76525	70168
1565	76571	70116
1566	76616	70064
1567	76662	70013
1568	76707	69961
1569	76755	69910
1570	76808	69866
1571	76855	69815
1572	76902	69764
1573	76948	69713
1574	76999	69666
1575	77053	69622
