iter	Logloss
620	0.2405716173
625	0.2405434052
630	0.2405108199
635	0.2404857315
640	0.2404523406
645	0.2404317898
650	0.2404067179
655	0.2403842765
660	0.2403647779
665	0.2403447039
670	0.2403110993
675	0.2402855834
680	0.2402619582
685	0.2402376261
690	0.2402156943
695	0.2401921021
700	0.240170532
705	0.2401457231
710	0.2401242352
715	0.2401046544
720	0.2400764752
725	0.2400538858
730	0.2400350284
735	0.2400181767
740	0.2399988919
745	0.2399777657
750	0.2399578726
755	0.2399359079
760	0.2399203715
765	0.2398978807
770	0.2398752913
775	0.2398597221
780	0.2398404043
785	0.2398218264
790	0.2398008153
795	0.2397849501
800	0.2397681314
805	0.2397485177
810	0.2397284437
815	0.2397055419
820	0.2396898247
825	0.2396715263
830	0.2396546089
835	0.2396349952
840	0.2396214646
845	0.2396043499
850	0.2395833388
855	0.2395633141
860	0.2395457062
865	0.2395298904
870	0.2395152747
875	0.2394996232
880	0.2394861583
885	0.2394670214
890	0.2394518467
895	0.239437938
900	0.239422977
905	0.2394090354
910	0.2393910493
915	0.2393782256
920	0.2393628537
925	0.2393468241
930	0.2393320604
935	0.2393185626
940	0.2393042922
945	0.2392891833
950	0.2392749128
955	0.2392564335
960	0.2392383324
965	0.2392263308
970	0.2392090517
975	0.2391958499
980	0.2391814314
985	0.2391659773
990	0.2391500134
995	0.2391373377
1000	0.2391231494
1005	0.2391062978
1010	0.2390903011
1015	0.2390773623
1020	0.2390637659
1025	0.2390475719
1030	0.2390312793
1035	0.2390163347
1040	0.2390037577
1045	0.2389923808
1050	0.2389796064
1055	0.2389657634
1060	0.2389523643
1065	0.2389407408
1070	0.2389281637
1075	0.238916458
1080	0.2389030096
1085	0.2388883445
1090	0.2388756359
1095	0.2388622368
1100	0.2388494789
1105	0.2388350112
1110	0.2388227136
1115	0.2388100707
1120	0.2387973293
1125	0.238784522
1130	0.2387740658
1135	0.2387607818
1140	0.2387477937
1145	0.2387354961
1150	0.2387243987
1155	0.2387106379
1160	0.2386988006
1165	0.2386871278
1170	0.2386731533
1175	0.2386623189
1180	0.2386480978
1185	0.2386372141
1190	0.2386261988
1195	0.2386164496
1200	0.2386051713
1205	0.2385942054
1210	0.2385825161
1215	0.2385702514
1220	0.238559154
1225	0.2385475469
1230	0.2385351343
1235	0.238524267
1240	0.2385119365
1245	0.238498932
1250	0.2384884429
1255	0.2384764084
1260	0.2384646204
1265	0.2384504322
1270	0.2384389238
1275	0.2384286319
1280	0.238416696
1285	0.2384071276
1290	0.2383979866
1295	0.2383853602
1300	0.2383732599
1305	0.2383588415
1310	0.2383473824
1315	0.2383374851
1320	0.2383274399
1325	0.2383161617
1330	0.2383050478
1335	0.2382947231
1340	0.2382807979
1345	0.2382709335
1350	0.2382580769
1355	0.2382469138
1360	0.2382344847
1365	0.2382235352
1370	0.2382123227
1375	0.2382032968
1380	0.2381923309
1385	0.238180806
1390	0.2381691661
1395	0.2381554053
1400	0.2381446531
1405	0.2381343448
1410	0.2381226391
1415	0.238111739
1420	0.2381003621
1425	0.2380892482
1430	0.2380793839
1435	0.2380697168
1440	0.2380598524
1445	0.2380508923
1450	0.2380421952
1455	0.2380333337
1460	0.2380230747
1465	0.2380121417
1470	0.2380017513
1475	0.2379909169
1480	0.2379810854
1485	0.2379708265
1490	0.2379620965
1495	0.2379492235
1500	0.2379395728
1505	0.2379292646
1510	0.237919466
1515	0.2379110648
1520	0.2378978959
1525	0.2378891495
1530	0.2378811758
1535	0.2378728897
1540	0.2378634528
1545	0.2378554133
1550	0.237844842
1555	0.2378354215
1560	0.2378271354
1565	0.2378189316
1570	0.2378093302
1575	0.2378004688
